MatchID,RoundID,Country,Year,Winner,Runners.Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,TotalAttendance,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,Half.time.Home.Goals,Half.time.Away.Goals,Referee,Referee_Country_Initials,Assistant.1,Assistant1_Country_Initials,Assistant.2,Assistante2_Country_Initials,Home.Team.Initials,Away.Team.Initials,Team.Initials,Coach.Name,Coach_Country_Initials,Line.up,Shirt.Number,Player.Name,Position,Event
25,323,Italy,1990,Germany,Argentina,Italy,England,115,24,52,2516215,1990-06-24T17:00:00Z,Round of 16,Stadio delle Alpi,Turin ,Brazil,0,1,Argentina, ,61381,0,0, Joel QUINIOU,FRA, Alexey SPIRIN,RUS, Pierluigi PAIRETTO,ITA,BRA,ARG,BRA, Sebastiao LAZARONI,BRA,true,1,TAFFAREL,GK,
26,322,,,,,,,,,,,1990-06-08T18:00:00Z,Group B,Giuseppe Meazza,Milan ,Argentina,0,1,Cameroon, ,73780,0,0, Michel VAUTROT,FRA, Vincent MAURO,USA, Michal LISTKIEWICZ,POL,ARG,CMR,ARG, Carlos BILARDO,ARG,true,1,Nery PUMPIDO,GK,
27,3462,,,,,,,,,,,1990-07-08T20:00:00Z,Final,Stadio Olimpico,Rome ,Germany FR,1,0,Argentina, ,73603,0,0, MENDEZ Edgardo CODESAL,MEX, HOYOS Armando PEREZ,COL, Michal LISTKIEWICZ,POL,FRG,ARG,FRG, Franz BECKENBAUER,GER,true,1,Bodo ILLGNER,GK,
28,3464,,,,,,,,,,,1990-07-03T20:00:00Z,Semi-finals,San Paolo,Naples ,Italy,1,1,Argentina, win on penalties (3 - 4) ,59978,0,0, Michel VAUTROT,FRA, Michal LISTKIEWICZ,POL, Peter MIKKELSEN,DEN,ITA,ARG,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
29,322,,,,,,,,,,,1990-06-18T21:00:00Z,Group B,San Paolo,Naples ,Argentina,1,1,Romania, ,52733,0,0, VALENTE Carlos Alberto SILVA,POR, MORERA Berny ULLOA,CRC, Carlo LONGHI,ITA,ARG,ROU,ARG, Carlos BILARDO,ARG,true,12,Sergio GOYCOCHEA,GK,
30,,,,,,,,,,,,1990-06-13T21:00:00Z,Group B,San Paolo,Naples ,Argentina,2,0,Soviet Union, ,55759,1,0, Erik FREDRIKSSON,SWE, WRIGHT Jose RAMIZ,BRA, SHARIF Jamal AL,SYR,ARG,URS,ARG, Carlos BILARDO,ARG,true,1,Nery PUMPIDO,GK,O11'
31,751,,,,,,,,,,,1990-06-30T17:00:00Z,Quarter-finals,Comunale,Florence ,Yugoslavia,0,0,Argentina, win on penalties (2 - 3) ,38971,0,0, Kurt ROETHLISBERGER,SUI, Neji JOUINI,TUN, Mohamed HANSAL,ALG,YUG,ARG,YUG, Ivica OSIM,BIH,true,1,Tomislav IVKOVIC,GK,
42,322,,,,,,,,,,,1990-06-09T21:00:00Z,Group A,Stadio Olimpico,Rome ,Italy,1,0,Austria, ,73303,0,0, WRIGHT Jose RAMIZ,BRA, HOYOS Armando PEREZ,COL, VALENTE Carlos Alberto SILVA,POR,ITA,AUT,ITA, Azeglio VICINI,ITA,true,1,Walter ZENGA,GK,
43,,,,,,,,,,,,1990-06-15T17:00:00Z,Group A,Comunale,Florence ,Austria,0,1,Czechoslovakia, ,38962,0,1, George SMITH,SCO, Richard LORENC,AUS, SHARIF Jamal AL,SYR,AUT,TCH,AUT, Josef HICKERSBERGER,AUT,true,1,Klaus LINDENBERGER,GK,
48,,,,,,,,,,,,1990-06-19T21:00:00Z,Group A,Comunale,Florence ,Austria,2,1,USA, ,34857,0,0, SHARIF Jamal AL,SYR, Richard LORENC,AUS, Zoran PETROVIC,SRB,AUT,USA,AUT, Josef HICKERSBERGER,AUT,true,1,Klaus LINDENBERGER,GK,Y84'
55,323,,,,,,,,,,,1990-06-26T21:00:00Z,Round of 16,Renato Dall Ara,Bologna ,England,1,0,Belgium,England win after extra time ,34520,0,0, Peter MIKKELSEN,DEN, Helmut KOHL,AUT, Shizuo TAKADA,JPN,ENG,BEL,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GK,
56,322,,,,,,,,,,,1990-06-21T17:00:00Z,Group E,Marc Antonio Bentegodi,Verona ,Belgium,1,2,Spain, ,35950,1,2, Juan LOUSTAU,ARG, Carlos MACIEL,PAR, Vincent MAURO,USA,BEL,ESP,BEL, Guy THYS,BEL,true,1,Michel PREUDHOMME,GK,
57,,,,,,,,,,,,1990-06-12T17:00:00Z,Group E,Marc Antonio Bentegodi,Verona ,Belgium,2,0,Korea Republic, ,32790,0,0, Vincent MAURO,USA, Alan SNODDY,NIR, George COURTNEY,ENG,BEL,KOR,BEL, Guy THYS,BEL,true,1,Michel PREUDHOMME,GK,
66,,,,,,,,,,,,1990-06-17T21:00:00Z,Group E,Marc Antonio Bentegodi,Verona ,Belgium,3,1,Uruguay, ,33759,2,0, Siegfried KIRSCHEN,GER, Peter MIKKELSEN,DEN, Alexey SPIRIN,RUS,BEL,URU,BEL, Guy THYS,BEL,true,1,Michel PREUDHOMME,GK,
73,,,,,,,,,,,,1990-06-16T17:00:00Z,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Costa Rica, ,58007,1,0, Neji JOUINI,TUN, Jean Fidele DIRAMBA,GAB, Jassim MANDI,BHR,BRA,CRC,BRA, Sebastiao LAZARONI,BRA,true,1,TAFFAREL,GK,
74,,,,,,,,,,,,1990-06-20T21:00:00Z,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Scotland, ,62502,0,0, Helmut KOHL,AUT, Michal LISTKIEWICZ,POL, Siegfried KIRSCHEN,GER,BRA,SCO,BRA, Sebastiao LAZARONI,BRA,true,1,TAFFAREL,GK,
75,,,,,,,,,,,,1990-06-10T21:00:00Z,Group C,Stadio delle Alpi,Turin ,Brazil,2,1,Sweden, ,62628,1,0, Tullio LANESE,ITA, Michel VAUTROT,FRA, Neji JOUINI,TUN,BRA,SWE,BRA, Sebastiao LAZARONI,BRA,true,1,TAFFAREL,GK,
102,323,,,,,,,,,,,1990-06-23T17:00:00Z,Round of 16,San Paolo,Naples ,Cameroon,2,1,Colombia,Cameroon win after extra time ,50026,0,0, Tullio LANESE,ITA, SHARIF Jamal AL,SYR, MORERA Berny ULLOA,CRC,CMR,COL,CMR, Valeri NEPOMNYASHCHI,RUS,true,16,Thomas NKONO,GK,
103,751,,,,,,,,,,,1990-07-01T21:00:00Z,Quarter-finals,San Paolo,Naples ,England,3,2,Cameroon,England win after extra time ,55205,0,0, MENDEZ Edgardo CODESAL,MEX, Vincent MAURO,USA, Jassim MANDI,BHR,ENG,CMR,ENG, Bobby ROBSON,ENG,true,1,Peter SHILTON,GK,
